name,category,style,price
Nike Chic Handbag,handbag,chic,150.74
H&M Derby Shoes,shoes,formal,147.09
Puma Hiking Boots,boots,casual,225.98
Uniqlo Casual Shirt,shirt,casual,61.59
Levi's Grunge Shirt,shirt,grunge,104.26
H&M Derby Shoes,shoes,grunge,152.02
Mango Grunge Dress,dress,grunge,211.96
Puma Chic Jacket,jacket,chic,181.76
Levi's Chic Handbag,handbag,chic,177.56
Nike Derby Shoes,shoes,retro,68.59
H&M Hiking Boots,boots,preppy,93.21
Adidas Preppy Handbag,handbag,preppy,194.21
Mango Hiking Boots,boots,streetwear,62.56
Mango Derby Shoes,shoes,formal,203.27
Nike Preppy Shirt,shirt,preppy,35.31
Uniqlo Chic Skirt,skirt,chic,46.4
Nike Derby Shoes,shoes,chic,193.38
Puma Grunge Skirt,skirt,grunge,77.9
Zara Minimalist Skirt,skirt,minimalist,30.39
Puma Minimalist Dress,dress,minimalist,106.67
Levi's Runner,sneakers,chic,194.98
Gap Runner,sneakers,vintage,112.56
Puma Retro Shirt,shirt,retro,111.02
Mango Elegant Handbag,handbag,elegant,103.89
Mango Hiking Boots,boots,preppy,204.98
Zara Hiking Boots,boots,retro,133.87
New Balance Preppy Handbag,handbag,preppy,59.38
Mango Preppy Handbag,handbag,preppy,140.81
Levi's Sporty Dress,dress,sporty,77.06
Levi's Retro Dress,dress,retro,59.56
Gap Streetwear Jacket,jacket,streetwear,125.94
H&M Minimalist Handbag,handbag,minimalist,176.72
Gap Hiking Boots,boots,formal,129.47
Zara Vintage Jacket,jacket,vintage,150.14
Zara Streetwear Shirt,shirt,streetwear,98.19
Adidas Chic Coat,coat,chic,83.86
Adidas Streetwear Skirt,skirt,streetwear,63.92
New Balance Vintage Skirt,skirt,vintage,69.61
Uniqlo Chic Handbag,handbag,chic,207.56
Zara Retro Shirt,shirt,retro,57.94
Gap Hiking Boots,boots,retro,230.39
Puma Minimalist Jeans,jeans,minimalist,158.48
Uniqlo Elegant Shirt,shirt,elegant,31.1
Adidas Streetwear Jeans,jeans,streetwear,157.95
Levi's Minimalist Dress,dress,minimalist,193.23
H&M Grunge Skirt,skirt,grunge,118.29
Nike Derby Shoes,shoes,minimalist,203.99
Nike Grunge Handbag,handbag,grunge,97.36
Levi's Casual Jeans,jeans,casual,69.1
Gap Grunge Jacket,jacket,grunge,73.33
Gap Vintage Coat,coat,vintage,244.4
Adidas Streetwear Dress,dress,streetwear,184.26
Adidas Casual Coat,coat,casual,210.16
Adidas Hiking Boots,boots,elegant,95.91
H&M Casual Handbag,handbag,casual,222.17
Gap Retro Handbag,handbag,retro,191.5
Zara Derby Shoes,shoes,grunge,174.37
Nike Elegant Coat,coat,elegant,255.35
Uniqlo Sporty Dress,dress,sporty,143.58
H&M Chic Coat,coat,chic,113.88
Puma Streetwear Jacket,jacket,streetwear,125.97
Uniqlo Preppy Handbag,handbag,preppy,94.01
Mango Sporty Handbag,handbag,sporty,26.92
Uniqlo Elegant Jacket,jacket,elegant,70.34
Adidas Derby Shoes,shoes,minimalist,203.46
Puma Vintage Jeans,jeans,vintage,110.69
Adidas Runner,sneakers,grunge,172.25
Mango Derby Shoes,shoes,minimalist,176.17
Gap Retro Jeans,jeans,retro,72.53
Mango Retro Shirt,shirt,retro,108.0
H&M Casual Coat,coat,casual,150.43
Gap Elegant Shirt,shirt,elegant,50.35
Zara Derby Shoes,shoes,vintage,60.16
Adidas Minimalist Coat,coat,minimalist,207.08
Puma Elegant Jacket,jacket,elegant,97.62
Puma Streetwear Shirt,shirt,streetwear,32.18
Zara Grunge Skirt,skirt,grunge,57.4
Mango Minimalist Dress,dress,minimalist,141.76
Gap Casual Coat,coat,casual,160.47
Gap Sporty Jacket,jacket,sporty,114.52
Nike Sporty Jeans,jeans,sporty,145.09
Levi's Streetwear Dress,dress,streetwear,97.9
Uniqlo Retro Coat,coat,retro,150.12
Nike Minimalist Jeans,jeans,minimalist,138.1
Gap Elegant Skirt,skirt,elegant,99.45
New Balance Vintage Handbag,handbag,vintage,76.75
Uniqlo Hiking Boots,boots,casual,177.29
Zara Runner,sneakers,retro,177.73
Adidas Retro Jacket,jacket,retro,104.15
Mango Sporty Shirt,shirt,sporty,22.55
Levi's Preppy Jeans,jeans,preppy,57.25
Puma Hiking Boots,boots,vintage,110.92
Puma Runner,sneakers,casual,199.57
Adidas Derby Shoes,shoes,preppy,142.67
Zara Chic Skirt,skirt,chic,102.36
H&M Elegant Dress,dress,elegant,130.11
Nike Grunge Skirt,skirt,grunge,71.76
Mango Preppy Skirt,skirt,preppy,40.19
Uniqlo Derby Shoes,shoes,casual,125.74
New Balance Formal Shirt,shirt,formal,38.48
Uniqlo Streetwear Handbag,handbag,streetwear,249.91
Mango Derby Shoes,shoes,casual,160.13
Nike Casual Jacket,jacket,casual,94.63
Levi's Retro Jeans,jeans,retro,158.03
Puma Vintage Jacket,jacket,vintage,197.18
Levi's Runner,sneakers,elegant,62.02
Mango Vintage Handbag,handbag,vintage,77.47
Nike Derby Shoes,shoes,elegant,52.44
Adidas Retro Handbag,handbag,retro,264.19
Puma Derby Shoes,shoes,chic,174.34
Uniqlo Retro Jacket,jacket,retro,92.43
Uniqlo Hiking Boots,boots,vintage,108.95
Adidas Runner,sneakers,minimalist,124.85
Mango Elegant Shirt,shirt,elegant,78.02
Mango Chic Shirt,shirt,chic,80.22
Zara Minimalist Jeans,jeans,minimalist,115.68
Gap Vintage Skirt,skirt,vintage,40.61
Zara Runner,sneakers,minimalist,139.54
Zara Runner,sneakers,elegant,216.02
H&M Chic Shirt,shirt,chic,102.34
Adidas Sporty Skirt,skirt,sporty,28.99
Adidas Runner,sneakers,casual,89.58
New Balance Formal Dress,dress,formal,163.12
Mango Derby Shoes,shoes,chic,105.33
Levi's Formal Coat,coat,formal,195.28
Gap Formal Dress,dress,formal,168.92
Adidas Formal Jacket,jacket,formal,180.93
Uniqlo Sporty Handbag,handbag,sporty,200.52
Adidas Elegant Handbag,handbag,elegant,252.61
Adidas Grunge Coat,coat,grunge,161.47
Adidas Minimalist Shirt,shirt,minimalist,86.16
Mango Grunge Handbag,handbag,grunge,142.84
Puma Derby Shoes,shoes,vintage,154.52
Gap Hiking Boots,boots,preppy,66.96
Adidas Formal Coat,coat,formal,210.37
Uniqlo Retro Skirt,skirt,retro,45.57
Levi's Casual Coat,coat,casual,203.09
Puma Sporty Shirt,shirt,sporty,85.37
Nike Streetwear Jacket,jacket,streetwear,78.83
Nike Vintage Shirt,shirt,vintage,110.54
Levi's Hiking Boots,boots,grunge,92.88
Gap Preppy Jeans,jeans,preppy,37.57
New Balance Vintage Jeans,jeans,vintage,102.94
New Balance Chic Shirt,shirt,chic,26.52
H&M Chic Dress,dress,chic,44.34
Adidas Runner,sneakers,elegant,161.31
Gap Minimalist Skirt,skirt,minimalist,77.95
Levi's Sporty Coat,coat,sporty,87.16
H&M Vintage Handbag,handbag,vintage,155.56
New Balance Chic Skirt,skirt,chic,38.88
Levi's Formal Jeans,jeans,formal,138.5
Mango Casual Shirt,shirt,casual,39.26
Zara Streetwear Handbag,handbag,streetwear,168.35
Gap Preppy Coat,coat,preppy,187.97
Uniqlo Derby Shoes,shoes,vintage,187.16
Mango Sporty Jacket,jacket,sporty,156.85
Uniqlo Derby Shoes,shoes,sporty,132.92
Mango Formal Jacket,jacket,formal,192.12
New Balance Grunge Shirt,shirt,grunge,46.39
Zara Streetwear Jacket,jacket,streetwear,71.53
Nike Formal Coat,coat,formal,226.16
Uniqlo Derby Shoes,shoes,retro,208.91
Levi's Derby Shoes,shoes,streetwear,68.37
Zara Minimalist Coat,coat,minimalist,216.82
Nike Hiking Boots,boots,chic,109.92
Adidas Formal Shirt,shirt,formal,23.99
Puma Grunge Jacket,jacket,grunge,128.77
Puma Retro Jacket,jacket,retro,79.93
H&M Formal Shirt,shirt,formal,44.2
Uniqlo Casual Coat,coat,casual,122.98
Levi's Derby Shoes,shoes,formal,89.47
New Balance Runner,sneakers,preppy,191.69
Adidas Runner,sneakers,vintage,111.09
Nike Runner,sneakers,formal,157.96
Uniqlo Formal Jeans,jeans,formal,68.64
Puma Streetwear Skirt,skirt,streetwear,75.44
New Balance Hiking Boots,boots,grunge,74.27
Levi's Elegant Jacket,jacket,elegant,96.65
Levi's Formal Dress,dress,formal,43.09
H&M Runner,sneakers,chic,56.79
Adidas Elegant Jacket,jacket,elegant,145.43
Nike Elegant Jeans,jeans,elegant,130.79
Nike Elegant Shirt,shirt,elegant,36.7
Nike Preppy Coat,coat,preppy,104.46
Zara Retro Skirt,skirt,retro,36.99
Mango Chic Jacket,jacket,chic,156.7
Zara Derby Shoes,shoes,streetwear,184.39
H&M Derby Shoes,shoes,elegant,120.69
Nike Elegant Handbag,handbag,elegant,271.69
Adidas Minimalist Jacket,jacket,minimalist,68.5
Gap Vintage Shirt,shirt,vintage,107.21
Uniqlo Elegant Skirt,skirt,elegant,26.05
Puma Derby Shoes,shoes,minimalist,155.7
Puma Retro Coat,coat,retro,216.53
Levi's Casual Skirt,skirt,casual,88.3
Zara Minimalist Shirt,shirt,minimalist,86.06
Levi's Casual Handbag,handbag,casual,37.1
Adidas Derby Shoes,shoes,preppy,125.96
Adidas Derby Shoes,shoes,minimalist,185.54
H&M Puffer Jacket,jacket,formal,113.26
Uniqlo Sporty Coat,coat,sporty,198.01
Adidas Peacoat,coat,casual,138.73
Zara Minimalist Skirt,skirt,minimalist,33.18
Puma Derby Shoes,shoes,preppy,57.23
Uniqlo Vintage Shirt,shirt,vintage,58.26
Mango Formal Jacket,jacket,formal,214.73
Puma Vintage Skirt,skirt,vintage,46.31
Zara Training Sneakers,sneakers,casual,173.8
Adidas Retro Jeans,jeans,retro,97.46
Gap Hiking Boots,boots,formal,115.1
H&M Chelsea Boots,boots,sporty,92.24
Mango Preppy Dress,dress,preppy,191.53
Adidas Hiking Boots,boots,casual,170.44
Nike Runner,sneakers,retro,163.88
H&M Sporty Shirt,shirt,sporty,30.51
Puma Chic Jacket,jacket,chic,189.29
Levi's Derby Shoes,shoes,retro,95.03
Gap Retro Handbag,handbag,retro,199.29
Zara Preppy Handbag,handbag,preppy,259.29
Puma Minimalist Dress,dress,minimalist,102.64
Zara Runner,sneakers,elegant,227.84
H&M Hiking Boots,boots,minimalist,158.19
Adidas Leather Shoes,shoes,sporty,79.24
Adidas Sporty Handbag,handbag,sporty,147.73
Zara Streetwear Shirt,shirt,streetwear,100.01
New Balance Chic Shirt,shirt,chic,26.83
New Balance Retro Handbag,handbag,retro,108.55
New Balance Formal Skirt,skirt,formal,64.89
Zara Trench Coat,coat,sporty,73.94
Zara Formal Handbag,handbag,formal,282.18
Uniqlo Derby Shoes,shoes,elegant,189.95
H&M High-top Sneakers,sneakers,formal,130.83
Nike Puffer Jacket,jacket,casual,176.22
Mango Sporty Shirt,shirt,sporty,22.66
Nike Preppy Jacket,jacket,preppy,182.32
Puma Retro Coat,coat,retro,221.41
Nike Streetwear Jacket,jacket,streetwear,86.33
Adidas Grunge Shirt,shirt,grunge,90.21
H&M Streetwear Coat,coat,streetwear,95.12
Levi's Vintage Handbag,handbag,vintage,78.5
H&M Vintage Dress,dress,vintage,134.19
Puma Sporty Coat,coat,sporty,96.57
H&M Casual Jacket,jacket,casual,213.39
Nike Formal Handbag,handbag,formal,97.04
New Balance Preppy Skirt,skirt,preppy,94.69
H&M Derby Shoes,shoes,formal,163.05
Gap Chic Dress,dress,chic,188.93
Mango Derby Shoes,shoes,vintage,118.3
Mango Casual Skirt,skirt,casual,74.3
Uniqlo Elegant Jacket,jacket,elegant,64.4
Uniqlo Elegant Handbag,handbag,elegant,274.78
Levi's Elegant Dress,dress,elegant,119.28
Uniqlo Runner,sneakers,retro,161.39
Levi's Runner,sneakers,preppy,167.71
Levi's Minimalist Coat,coat,minimalist,163.63
Nike Formal Skirt,skirt,formal,65.47
Uniqlo Minimalist Coat,coat,minimalist,235.3
Adidas Minimalist Skirt,skirt,minimalist,70.51
Adidas Sporty Skirt,skirt,sporty,28.38
Adidas Casual Coat,coat,casual,205.11
Puma Hiking Boots,boots,minimalist,189.21
Adidas Formal Dress,dress,formal,113.04
H&M Elegant Coat,coat,elegant,163.3
Nike Peacoat,coat,sporty,100.55
Zara Retro Skirt,skirt,retro,40.97
Levi's Casual Shirt,shirt,casual,39.89
Uniqlo Track Jacket,jacket,casual,195.35
Puma Preppy Shirt,shirt,preppy,101.22
Mango Vintage Jacket,jacket,vintage,99.04
Puma Derby Shoes,shoes,minimalist,152.18
Nike Derby Shoes,shoes,sporty,44.16
Uniqlo High-top Sneakers,sneakers,casual,72.58
H&M Sporty Dress,dress,sporty,123.96
Levi's Grunge Dress,dress,grunge,84.56
New Balance Elegant Dress,dress,elegant,159.97
Nike Derby Shoes,shoes,vintage,162.45
New Balance Derby Shoes,shoes,sporty,102.96
Puma Chic Shirt,shirt,chic,102.99
Levi's Elegant Skirt,skirt,elegant,87.91
Adidas Training Sneakers,sneakers,sporty,148.0
Adidas Leather Shoes,shoes,casual,109.14
Gap Retro Skirt,skirt,retro,86.53
Adidas Elegant Jacket,jacket,elegant,136.18
Nike Preppy Coat,coat,preppy,98.02
Gap Derby Shoes,shoes,elegant,140.03
H&M Grunge Shirt,shirt,grunge,90.97
Adidas Wool Coat,coat,casual,100.49
Uniqlo Chic Handbag,handbag,chic,212.21
Adidas Runner,sneakers,minimalist,135.43
Mango Streetwear Dress,dress,streetwear,153.69
H&M Runner,sneakers,retro,196.33
Zara Hiking Boots,boots,retro,141.5
H&M Derby Shoes,shoes,grunge,139.25
Nike Casual Jacket,jacket,casual,93.01
Mango Casual Shirt,shirt,casual,43.0
Zara Hiking Boots,boots,sporty,192.4
Levi's Sporty Coat,coat,sporty,93.3
